epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,397.6,0.81044,0.81398,1.04399,0.70625,0.68639,0.7212,0.54834,0.90141,1.13913,1.19059,0.000663025,0.000663025,0.000663025
43,406.886,0.79931,0.82152,1.04751,0.83338,0.7199,0.76717,0.59431,0.87873,0.98432,1.17405,0.000657025,0.000657025,0.000657025
44,416.31,0.79172,0.83732,1.05685,0.71139,0.71202,0.74926,0.56983,0.91465,1.20744,1.18437,0.000651026,0.000651026,0.000651026
45,425.59,0.80881,0.8395,1.04331,0.78636,0.66594,0.76549,0.57397,0.91982,1.02217,1.1861,0.000645026,0.000645026,0.000645026
46,434.863,0.79058,0.83757,1.04665,0.73035,0.70047,0.76081,0.58507,0.88838,1.0396,1.15893,0.000639027,0.000639027,0.000639027
47,444.153,0.78299,0.78705,1.02244,0.7857,0.65466,0.75812,0.58015,0.89612,1.00056,1.15045,0.000633028,0.000633028,0.000633028
48,453.419,0.78015,0.7551,1.01784,0.7182,0.6228,0.71173,0.54112,0.91077,1.29947,1.17045,0.000627028,0.000627028,0.000627028
49,462.69,0.78743,0.81085,1.02809,0.73347,0.69781,0.7534,0.58041,0.87244,1.0965,1.15121,0.000621029,0.000621029,0.000621029
50,471.967,0.76959,0.75908,1.0182,0.75776,0.69406,0.75965,0.60279,0.84203,0.97544,1.13283,0.000615029,0.000615029,0.000615029
51,481.34,0.7487,0.76253,1.01132,0.77,0.69602,0.76736,0.59401,0.81783,1.02172,1.12821,0.00060903,0.00060903,0.00060903
52,490.622,0.73943,0.71755,0.99351,0.67338,0.76917,0.77387,0.60294,0.83824,0.89851,1.13451,0.000603031,0.000603031,0.000603031
53,499.994,0.77174,0.74208,1.02948,0.74454,0.71332,0.78537,0.60759,0.84878,0.96859,1.12809,0.000597031,0.000597031,0.000597031
54,509.361,0.73125,0.74129,1.00949,0.81876,0.68044,0.75945,0.59791,0.83355,0.93693,1.1156,0.000591032,0.000591032,0.000591032
55,518.682,0.73963,0.7172,1.00724,0.72718,0.68237,0.7342,0.58089,0.84863,1.16326,1.12218,0.000585032,0.000585032,0.000585032
56,527.959,0.76284,0.73473,1.02006,0.808,0.706,0.76987,0.59758,0.83836,0.95352,1.13246,0.000579033,0.000579033,0.000579033
57,537.219,0.71778,0.72928,1.01009,0.85387,0.70799,0.79203,0.62031,0.80953,0.92542,1.10618,0.000573034,0.000573034,0.000573034
58,546.595,0.717,0.67613,0.98645,0.75826,0.68965,0.7661,0.60202,0.84599,0.9882,1.13969,0.000567034,0.000567034,0.000567034
59,555.889,0.71412,0.69755,0.99895,0.73861,0.75643,0.78018,0.60016,0.85935,0.97969,1.13253,0.000561035,0.000561035,0.000561035
60,565.154,0.70409,0.6584,0.9896,0.76821,0.74805,0.79676,0.6102,0.8898,0.89414,1.14708,0.000555035,0.000555035,0.000555035
61,574.437,0.72628,0.65404,0.99421,0.76767,0.729,0.79322,0.61672,0.81749,1.01504,1.10435,0.000549036,0.000549036,0.000549036
62,583.698,0.71081,0.6533,0.98671,0.81991,0.74348,0.80128,0.60985,0.84981,0.88085,1.11658,0.000543037,0.000543037,0.000543037
63,592.984,0.7142,0.63896,0.98298,0.77843,0.73438,0.80248,0.6169,0.87076,0.9114,1.13432,0.000537037,0.000537037,0.000537037
64,602.253,0.70964,0.64782,0.98683,0.75467,0.77037,0.80909,0.60514,0.88842,0.83647,1.14103,0.000531038,0.000531038,0.000531038
65,611.514,0.70415,0.67825,0.99551,0.75947,0.75958,0.77653,0.6005,0.80668,0.90512,1.0902,0.000525038,0.000525038,0.000525038
66,620.793,0.70045,0.68004,0.99967,0.73437,0.69988,0.72232,0.55717,0.89089,1.12202,1.18076,0.000519039,0.000519039,0.000519039
