epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,491.787,0.7734,0.92328,1.06367,0.68772,0.68743,0.71896,0.55097,0.91988,1.0656,1.24563,0.000663025,0.000663025,0.000663025
43,503.386,0.76674,0.89757,1.05401,0.7514,0.68111,0.74872,0.53585,1.02448,1.07932,1.26622,0.000657025,0.000657025,0.000657025
44,514.971,0.78423,0.9203,1.06908,0.74799,0.68954,0.754,0.56075,0.91885,1.07729,1.21833,0.000651026,0.000651026,0.000651026
45,526.556,0.76118,0.85318,1.04878,0.84249,0.66162,0.73419,0.55751,0.96876,1.0565,1.26565,0.000645026,0.000645026,0.000645026
46,538.134,0.7857,0.90557,1.08098,0.84784,0.69286,0.79194,0.57417,0.9305,0.99614,1.23271,0.000639027,0.000639027,0.000639027
47,549.863,0.7584,0.86966,1.04591,0.75565,0.68715,0.76481,0.55689,1.00132,1.04548,1.26615,0.000633028,0.000633028,0.000633028
48,561.463,0.74445,0.85465,1.04298,0.83019,0.66574,0.73628,0.54034,0.9784,1.13152,1.26016,0.000627028,0.000627028,0.000627028
49,573.059,0.73911,0.84437,1.04982,0.83668,0.68599,0.78125,0.58551,0.91421,1.0113,1.21337,0.000621029,0.000621029,0.000621029
50,584.767,0.73843,0.82973,1.03939,0.78495,0.71251,0.77458,0.59646,0.90411,0.98604,1.21611,0.000615029,0.000615029,0.000615029
51,596.483,0.75354,0.87149,1.05131,0.7709,0.7395,0.78606,0.59094,0.90913,0.97771,1.22425,0.00060903,0.00060903,0.00060903
52,608.119,0.7046,0.77759,1.0191,0.87103,0.67284,0.76586,0.58353,0.86073,1.19635,1.18858,0.000603031,0.000603031,0.000603031
53,619.709,0.72372,0.78418,1.035,0.78143,0.71263,0.80119,0.60867,0.85851,0.90023,1.1831,0.000597031,0.000597031,0.000597031
54,631.432,0.71206,0.76006,1.02661,0.72988,0.74796,0.77203,0.5828,0.90646,0.97539,1.21369,0.000591032,0.000591032,0.000591032
55,643.039,0.71094,0.77372,1.00629,0.69231,0.68882,0.74668,0.57161,0.90661,1.01156,1.22631,0.000585032,0.000585032,0.000585032
56,654.629,0.71336,0.83243,1.02018,0.72982,0.70625,0.75511,0.54569,0.96296,1.04273,1.24376,0.000579033,0.000579033,0.000579033
57,666.221,0.67508,0.77163,1.00285,0.78323,0.68581,0.76798,0.57724,0.92873,1.02823,1.23606,0.000573034,0.000573034,0.000573034
58,677.808,0.73148,0.78066,1.03469,0.8806,0.67781,0.76695,0.57175,0.9443,0.96259,1.23635,0.000567034,0.000567034,0.000567034
59,689.418,0.71275,0.7606,1.01776,0.79585,0.72511,0.79063,0.58533,0.90988,0.92721,1.22579,0.000561035,0.000561035,0.000561035
60,701.018,0.70819,0.70916,1.00252,0.85628,0.74343,0.81984,0.59805,0.92898,0.9133,1.21097,0.000555035,0.000555035,0.000555035
61,712.66,0.69867,0.71835,1.00194,0.67279,0.78895,0.77764,0.58909,0.88582,0.92732,1.19714,0.000549036,0.000549036,0.000549036
62,724.258,0.69042,0.70813,0.99205,0.79726,0.72495,0.78475,0.58599,0.93151,0.88956,1.21242,0.000543037,0.000543037,0.000543037
63,735.869,0.69664,0.70813,1.00094,0.7873,0.75802,0.80346,0.59268,0.92039,0.88057,1.19115,0.000537037,0.000537037,0.000537037
64,747.44,0.64324,0.69449,0.97827,0.77948,0.77321,0.81018,0.6135,0.85631,0.83451,1.16615,0.000531038,0.000531038,0.000531038
65,759.14,0.66254,0.67221,1.00156,0.86107,0.74344,0.83035,0.61414,0.90786,0.87952,1.1906,0.000525038,0.000525038,0.000525038
66,770.852,0.66908,0.6739,0.99055,0.87034,0.71894,0.83137,0.60249,0.9409,0.8907,1.22453,0.000519039,0.000519039,0.000519039
67,782.453,0.6944,0.70188,1.01226,0.75961,0.78113,0.82161,0.61849,0.85812,0.85239,1.18357,0.00051304,0.00051304,0.00051304
68,794.151,0.64651,0.67642,0.98608,0.7734,0.80561,0.82999,0.59904,0.93265,0.83106,1.22577,0.00050704,0.00050704,0.00050704
69,805.743,0.65207,0.64295,0.98042,0.74564,0.78433,0.81021,0.5962,0.92669,0.85716,1.24235,0.000501041,0.000501041,0.000501041
70,817.33,0.678,0.65338,0.9953,0.79428,0.79176,0.84388,0.60224,0.93951,0.83616,1.22539,0.000495041,0.000495041,0.000495041
71,828.93,0.66637,0.68849,1.00616,0.80296,0.72699,0.82074,0.6173,0.87686,0.86051,1.16986,0.000489042,0.000489042,0.000489042
72,840.52,0.63312,0.66692,0.98017,0.80944,0.78874,0.84572,0.63456,0.83619,0.8039,1.14442,0.000483043,0.000483043,0.000483043
73,852.226,0.6433,0.65869,0.99034,0.77301,0.81781,0.82878,0.62822,0.85943,0.75706,1.16876,0.000477043,0.000477043,0.000477043
74,863.837,0.64277,0.67797,1.00183,0.8132,0.76035,0.81419,0.60777,0.8538,0.94593,1.17335,0.000471044,0.000471044,0.000471044
75,875.452,0.66003,0.64295,0.9953,0.86484,0.7675,0.83994,0.63275,0.83084,0.7892,1.14599,0.000465044,0.000465044,0.000465044
76,887.031,0.60617,0.6045,0.9593,0.82911,0.76147,0.82839,0.64168,0.82458,0.8125,1.15168,0.000459045,0.000459045,0.000459045
77,898.738,0.60416,0.5755,0.96839,0.82166,0.76616,0.82591,0.61979,0.85448,0.8447,1.16721,0.000453046,0.000453046,0.000453046
78,910.307,0.60639,0.60887,0.96988,0.84596,0.77758,0.85898,0.6514,0.84434,0.80434,1.15889,0.000447046,0.000447046,0.000447046
79,922.038,0.59796,0.57768,0.96615,0.79277,0.82079,0.86255,0.65743,0.8205,0.70621,1.13577,0.000441047,0.000441047,0.000441047
80,933.733,0.62177,0.61006,0.98912,0.7719,0.80435,0.8308,0.62599,0.82801,0.80536,1.14583,0.000435047,0.000435047,0.000435047
81,945.309,0.63103,0.60742,0.97899,0.83175,0.79767,0.86256,0.64278,0.87567,0.76671,1.17723,0.000429048,0.000429048,0.000429048
82,956.89,0.61709,0.57394,0.96023,0.84918,0.71871,0.81098,0.60657,0.88369,0.82998,1.21292,0.000423049,0.000423049,0.000423049
83,968.487,0.62889,0.60248,0.97248,0.91186,0.74847,0.86393,0.64326,0.85604,0.76454,1.17112,0.000417049,0.000417049,0.000417049
84,980.065,0.60775,0.59098,0.97777,0.86553,0.76474,0.86056,0.64057,0.84235,0.80872,1.16692,0.00041105,0.00041105,0.00041105
85,991.639,0.61145,0.57292,0.97473,0.82535,0.7604,0.82839,0.62413,0.84858,0.83604,1.16922,0.00040505,0.00040505,0.00040505
86,1003.21,0.59373,0.5675,0.95293,0.82802,0.76269,0.83642,0.64616,0.79855,0.84427,1.13154,0.000399051,0.000399051,0.000399051
87,1014.8,0.59411,0.55655,0.95239,0.8712,0.77793,0.86146,0.65612,0.81368,0.73416,1.12741,0.000393052,0.000393052,0.000393052
88,1026.38,0.56245,0.54069,0.94579,0.84805,0.80087,0.86907,0.6543,0.80414,0.78343,1.13137,0.000387052,0.000387052,0.000387052
89,1037.95,0.56903,0.53032,0.94541,0.83756,0.82143,0.84873,0.6365,0.85181,0.79316,1.16653,0.000381053,0.000381053,0.000381053
90,1049.53,0.58842,0.55787,0.95698,0.86027,0.78228,0.85259,0.65187,0.82028,0.81377,1.1447,0.000375053,0.000375053,0.000375053
91,1061.13,0.56598,0.52616,0.94605,0.87332,0.76551,0.84944,0.65396,0.80516,0.71577,1.15656,0.000369054,0.000369054,0.000369054
92,1072.7,0.57219,0.55915,0.94318,0.83487,0.822,0.85612,0.64642,0.8381,0.74278,1.15082,0.000363055,0.000363055,0.000363055
93,1084.3,0.5676,0.52935,0.9316,0.8488,0.77278,0.83184,0.62817,0.87137,0.8493,1.16383,0.000357055,0.000357055,0.000357055
94,1095.87,0.57526,0.54085,0.9493,0.84577,0.8194,0.85125,0.66096,0.78368,0.70378,1.1341,0.000351056,0.000351056,0.000351056
95,1107.62,0.57028,0.52799,0.95868,0.88181,0.79234,0.87411,0.66663,0.80749,0.73495,1.14053,0.000345056,0.000345056,0.000345056
96,1119.32,0.55613,0.53142,0.94789,0.83312,0.83515,0.88008,0.66352,0.80911,0.70861,1.1365,0.000339057,0.000339057,0.000339057
97,1130.89,0.57,0.52802,0.94497,0.86548,0.79499,0.87455,0.6638,0.8106,0.76951,1.15278,0.000333058,0.000333058,0.000333058
98,1142.46,0.56709,0.51433,0.94728,0.86699,0.7989,0.87147,0.65765,0.80263,0.73096,1.13098,0.000327058,0.000327058,0.000327058
99,1154.06,0.54931,0.49544,0.93271,0.86491,0.83409,0.89012,0.6694,0.8329,0.71362,1.15946,0.000321059,0.000321059,0.000321059
100,1165.74,0.55591,0.50517,0.93775,0.85352,0.793,0.8776,0.65673,0.80827,0.78206,1.14001,0.000315059,0.000315059,0.000315059
101,1177.31,0.53606,0.50382,0.94202,0.90273,0.78232,0.88288,0.66961,0.79749,0.71068,1.14421,0.00030906,0.00030906,0.00030906
102,1188.99,0.52179,0.47535,0.94171,0.90015,0.80007,0.87898,0.67165,0.78771,0.67992,1.12884,0.000303061,0.000303061,0.000303061
103,1200.7,0.53352,0.48528,0.94231,0.83463,0.82005,0.86258,0.64909,0.82364,0.71953,1.16493,0.000297061,0.000297061,0.000297061
104,1212.29,0.5284,0.49042,0.92596,0.86467,0.80578,0.86035,0.65064,0.8151,0.8146,1.15175,0.000291062,0.000291062,0.000291062
105,1223.87,0.5237,0.47335,0.91061,0.87435,0.78645,0.86484,0.65647,0.80151,0.73229,1.13387,0.000285062,0.000285062,0.000285062
106,1235.43,0.53773,0.48021,0.93714,0.82444,0.8175,0.87254,0.67671,0.7778,0.75838,1.12623,0.000279063,0.000279063,0.000279063
107,1247.14,0.52703,0.49034,0.93521,0.85876,0.80454,0.87127,0.6693,0.79091,0.7387,1.13689,0.000273064,0.000273064,0.000273064
108,1258.72,0.52684,0.46381,0.92784,0.88695,0.81827,0.88295,0.68036,0.80517,0.70681,1.13552,0.000267064,0.000267064,0.000267064
109,1270.41,0.52575,0.47732,0.94498,0.84919,0.83347,0.87489,0.67185,0.7629,0.76128,1.11533,0.000261065,0.000261065,0.000261065
110,1281.98,0.49315,0.44464,0.9031,0.83584,0.81489,0.85865,0.66411,0.77608,0.76318,1.12705,0.000255065,0.000255065,0.000255065
111,1293.56,0.52225,0.4355,0.92422,0.90161,0.82747,0.88239,0.67237,0.79464,0.72989,1.12677,0.000249066,0.000249066,0.000249066
112,1305.13,0.49598,0.42684,0.90737,0.90994,0.82921,0.8889,0.68044,0.78658,0.69812,1.1348,0.000243067,0.000243067,0.000243067
113,1316.82,0.50449,0.47119,0.91938,0.90033,0.82724,0.88336,0.68095,0.78124,0.68467,1.12905,0.000237067,0.000237067,0.000237067
114,1328.52,0.49675,0.44039,0.9035,0.84054,0.84746,0.86864,0.67016,0.79291,0.68945,1.1385,0.000231068,0.000231068,0.000231068
115,1340.11,0.49275,0.44202,0.92479,0.88932,0.81098,0.86259,0.66339,0.80157,0.74355,1.135,0.000225068,0.000225068,0.000225068
116,1351.68,0.47325,0.43156,0.91779,0.85935,0.84238,0.88557,0.68098,0.79623,0.67952,1.13581,0.000219069,0.000219069,0.000219069
117,1363.38,0.48931,0.4359,0.91852,0.87677,0.84039,0.88477,0.68186,0.7774,0.68511,1.12284,0.00021307,0.00021307,0.00021307
118,1375.07,0.48889,0.45496,0.92063,0.89508,0.82969,0.86825,0.67737,0.76101,0.76265,1.10181,0.00020707,0.00020707,0.00020707
119,1386.67,0.4838,0.43322,0.91416,0.88856,0.82379,0.8836,0.67688,0.77264,0.70102,1.11514,0.000201071,0.000201071,0.000201071
120,1398.23,0.47754,0.40304,0.9076,0.88915,0.84816,0.89551,0.68581,0.79265,0.64752,1.12524,0.000195071,0.000195071,0.000195071
121,1409.93,0.48318,0.42166,0.89851,0.9113,0.81357,0.89043,0.68241,0.77868,0.73314,1.12054,0.000189072,0.000189072,0.000189072
122,1421.5,0.47625,0.4185,0.91056,0.90671,0.83366,0.89452,0.68649,0.78164,0.65524,1.12972,0.000183073,0.000183073,0.000183073
123,1433.2,0.47129,0.39937,0.90516,0.88498,0.85113,0.89568,0.69283,0.77786,0.74605,1.11791,0.000177073,0.000177073,0.000177073
124,1444.88,0.48725,0.41374,0.91451,0.90302,0.81111,0.88295,0.69437,0.77234,0.70995,1.12206,0.000171074,0.000171074,0.000171074
125,1456.57,0.46715,0.40717,0.90999,0.91385,0.81273,0.87932,0.68788,0.79133,0.7264,1.13069,0.000165074,0.000165074,0.000165074
126,1468.13,0.43305,0.39641,0.89366,0.90354,0.82173,0.88494,0.68766,0.76548,0.69463,1.12784,0.000159075,0.000159075,0.000159075
127,1479.71,0.46194,0.41226,0.90881,0.93179,0.8094,0.88546,0.69001,0.78067,0.685,1.12977,0.000153076,0.000153076,0.000153076
128,1491.27,0.4689,0.42127,0.91789,0.86323,0.82893,0.86915,0.67976,0.79021,0.73108,1.14548,0.000147076,0.000147076,0.000147076
129,1502.83,0.44572,0.36407,0.89905,0.89168,0.83187,0.88458,0.69752,0.76191,0.64181,1.12049,0.000141077,0.000141077,0.000141077
130,1514.51,0.44698,0.38486,0.89272,0.90099,0.82798,0.88883,0.69718,0.76955,0.6815,1.11857,0.000135077,0.000135077,0.000135077
131,1526.09,0.43526,0.37798,0.89073,0.9102,0.85112,0.89317,0.69426,0.76553,0.67314,1.11148,0.000129078,0.000129078,0.000129078
132,1537.65,0.43899,0.37483,0.90041,0.91693,0.82868,0.88939,0.69928,0.76045,0.71688,1.11557,0.000123079,0.000123079,0.000123079
133,1549.32,0.43936,0.37564,0.88958,0.91104,0.82468,0.89294,0.70211,0.771,0.69106,1.11562,0.000117079,0.000117079,0.000117079
134,1561,0.44785,0.36987,0.89515,0.89397,0.8529,0.88427,0.70025,0.76043,0.69771,1.11298,0.00011108,0.00011108,0.00011108
135,1572.58,0.44768,0.40739,0.91039,0.90053,0.83963,0.88859,0.70005,0.75211,0.70201,1.10861,0.00010508,0.00010508,0.00010508
136,1584.15,0.42133,0.35936,0.88984,0.917,0.83244,0.88645,0.69167,0.7685,0.67411,1.12333,9.9081e-05,9.9081e-05,9.9081e-05
137,1595.71,0.432,0.35731,0.89789,0.90436,0.84994,0.8899,0.69026,0.77238,0.67788,1.12541,9.30816e-05,9.30816e-05,9.30816e-05
138,1607.27,0.44526,0.38805,0.91369,0.88502,0.84224,0.87971,0.69148,0.74531,0.73292,1.10587,8.70822e-05,8.70822e-05,8.70822e-05
139,1618.85,0.42299,0.35104,0.88212,0.91901,0.82098,0.8834,0.69202,0.76674,0.72726,1.12082,8.10828e-05,8.10828e-05,8.10828e-05
140,1630.41,0.43375,0.35027,0.89465,0.90139,0.83063,0.88522,0.69913,0.74841,0.71266,1.11152,7.50834e-05,7.50834e-05,7.50834e-05
141,1642.44,0.40315,0.30467,0.87069,0.94149,0.80391,0.87635,0.69167,0.7628,0.73059,1.117,6.9084e-05,6.9084e-05,6.9084e-05
142,1654.01,0.37781,0.28572,0.86109,0.94868,0.79891,0.87712,0.68825,0.75865,0.72847,1.12789,6.30846e-05,6.30846e-05,6.30846e-05
143,1665.59,0.37404,0.28171,0.85601,0.90729,0.83451,0.87947,0.68856,0.7825,0.72149,1.14617,5.70852e-05,5.70852e-05,5.70852e-05
144,1677.14,0.38189,0.28563,0.85141,0.91093,0.83983,0.88624,0.6937,0.76548,0.70414,1.13996,5.10858e-05,5.10858e-05,5.10858e-05
145,1688.7,0.38001,0.26752,0.85604,0.91583,0.84603,0.89008,0.69602,0.76834,0.70742,1.13216,4.50864e-05,4.50864e-05,4.50864e-05
146,1700.29,0.37428,0.27231,0.85718,0.9169,0.84386,0.8948,0.70569,0.75677,0.69913,1.12533,3.9087e-05,3.9087e-05,3.9087e-05
147,1711.98,0.35774,0.27223,0.83964,0.94174,0.82045,0.88803,0.70333,0.75588,0.71911,1.12156,3.30876e-05,3.30876e-05,3.30876e-05
148,1723.53,0.37624,0.26977,0.84461,0.93559,0.82164,0.88946,0.70456,0.75143,0.732,1.12051,2.70882e-05,2.70882e-05,2.70882e-05
149,1735.08,0.36251,0.26694,0.84772,0.92261,0.82426,0.89129,0.70107,0.75394,0.71772,1.1223,2.10888e-05,2.10888e-05,2.10888e-05
150,1746.63,0.35337,0.26416,0.84861,0.92537,0.82895,0.89154,0.70411,0.75162,0.70485,1.12263,1.50894e-05,1.50894e-05,1.50894e-05
