epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9484,1.23027,3.55027,1.38168,0.34007,0.32092,0.17873,0.12006,1.46195,4.67449,1.82689,0.000294811,0.000294811,0.000294811
2,23.7698,1.34765,2.71592,1.51286,0.06006,0.40921,0.04646,0.02958,1.85915,inf,3.30882,0.000593865,0.000593865,0.000593865
3,35.5496,1.44974,2.82433,1.57715,0.17823,0.28856,0.03534,0.01583,1.89004,inf,3.85226,0.00088892,0.00088892,0.00088892
4,47.2855,1.31327,2.40422,1.4945,0.06867,0.33079,0.06664,0.03852,1.74619,18.1006,2.92145,0.000891002,0.000891002,0.000891002
5,58.9935,1.33938,2.18064,1.49494,0.28084,0.31932,0.1699,0.11197,1.71995,12.4654,2.84203,0.000885002,0.000885002,0.000885002
6,70.8934,1.31392,2.16726,1.49464,0.07775,0.30499,0.08539,0.05016,1.85766,111.125,3.28155,0.000879003,0.000879003,0.000879003
7,82.5782,1.26708,2.13169,1.48277,0.38455,0.33966,0.19168,0.12897,1.5789,4.61317,2.0283,0.000873004,0.000873004,0.000873004
8,94.3896,1.25538,2.02264,1.44362,0.40587,0.32175,0.23039,0.15615,1.69456,4.4418,2.1478,0.000867004,0.000867004,0.000867004
9,106.262,1.20965,1.89104,1.4208,0.25187,0.3537,0.21961,0.16056,1.28255,12.4039,1.70974,0.000861005,0.000861005,0.000861005
10,118.016,1.17752,1.78225,1.41333,0.55957,0.3899,0.34631,0.23339,1.39004,3.03493,1.70636,0.000855005,0.000855005,0.000855005
11,129.771,1.14652,1.79683,1.40203,0.52885,0.28499,0.31607,0.20652,1.50201,3.18395,1.79676,0.000849006,0.000849006,0.000849006
12,141.418,1.11346,1.68411,1.35698,0.6928,0.4678,0.47779,0.33174,1.22106,2.48929,1.57795,0.000843007,0.000843007,0.000843007
13,153.147,1.10006,1.60255,1.35522,0.63546,0.39755,0.44281,0.32354,1.21335,2.14074,1.5782,0.000837007,0.000837007,0.000837007
14,164.781,1.09891,1.56533,1.33466,0.74991,0.50478,0.55853,0.39436,1.09965,2.04759,1.47679,0.000831008,0.000831008,0.000831008
15,176.532,1.06226,1.52809,1.33896,0.67355,0.48238,0.49102,0.3407,1.12425,2.19207,1.4796,0.000825008,0.000825008,0.000825008
16,188.149,1.05541,1.49991,1.32986,0.67191,0.46963,0.47546,0.34175,1.15094,2.19792,1.5959,0.000819009,0.000819009,0.000819009
17,199.807,1.03826,1.49844,1.30002,0.65797,0.51957,0.50934,0.37223,1.05034,3.13252,1.43007,0.00081301,0.00081301,0.00081301
18,211.389,0.99905,1.39968,1.28467,0.66746,0.57799,0.56107,0.40705,1.22303,1.70089,1.57726,0.00080701,0.00080701,0.00080701
19,223.162,1.00333,1.3938,1.29692,0.76476,0.51828,0.57271,0.42145,1.02795,1.73605,1.41101,0.000801011,0.000801011,0.000801011
20,234.901,1.04347,1.38095,1.31505,0.6582,0.53108,0.5299,0.38318,1.07071,2.02672,1.42997,0.000795011,0.000795011,0.000795011
21,246.506,0.9953,1.35168,1.2808,0.74811,0.5528,0.59951,0.4415,1.03423,1.55101,1.41256,0.000789012,0.000789012,0.000789012
22,258.224,1.01049,1.32694,1.28916,0.56209,0.47871,0.56959,0.40231,1.15964,1.75013,1.49569,0.000783013,0.000783013,0.000783013
23,269.85,1.00634,1.31016,1.27076,0.73956,0.55298,0.59677,0.43892,1.03715,1.6016,1.41525,0.000777013,0.000777013,0.000777013
24,281.445,0.958,1.25797,1.2393,0.67225,0.5396,0.5743,0.44276,0.98307,1.74108,1.37464,0.000771014,0.000771014,0.000771014
25,293.167,0.92473,1.14363,1.21759,0.84519,0.53711,0.6656,0.50432,0.96381,1.42394,1.36017,0.000765014,0.000765014,0.000765014
26,304.898,0.96299,1.23404,1.253,0.76937,0.56788,0.66214,0.48517,1.03282,1.50341,1.37587,0.000759015,0.000759015,0.000759015
27,316.523,0.90644,1.08021,1.19447,0.7857,0.5657,0.64611,0.46116,1.07469,1.47042,1.4353,0.000753016,0.000753016,0.000753016
28,328.21,0.93128,1.13413,1.22375,0.72158,0.57686,0.62799,0.47267,0.95613,1.55211,1.33646,0.000747016,0.000747016,0.000747016
29,339.865,0.87235,1.08195,1.18689,0.80805,0.57818,0.64069,0.47879,1.00461,1.36276,1.38495,0.000741017,0.000741017,0.000741017
30,351.473,0.88994,1.11326,1.20911,0.63228,0.57747,0.65586,0.48201,1.01566,1.42489,1.38683,0.000735017,0.000735017,0.000735017
31,363.106,0.93997,1.14061,1.23222,0.75944,0.57358,0.63527,0.46453,1.04987,1.40406,1.41682,0.000729018,0.000729018,0.000729018
32,374.712,0.88659,1.05768,1.18515,0.62736,0.60667,0.67186,0.49145,0.99661,1.24847,1.37123,0.000723019,0.000723019,0.000723019
33,386.347,0.87867,1.06348,1.18888,0.66678,0.5872,0.62564,0.46756,1.01376,1.80733,1.37785,0.000717019,0.000717019,0.000717019
34,397.979,0.89306,1.11998,1.22423,0.74891,0.60678,0.66325,0.49488,0.96655,1.36761,1.32844,0.00071102,0.00071102,0.00071102
35,409.62,0.8925,1.08284,1.19719,0.60102,0.66929,0.66389,0.49692,0.95199,1.3194,1.333,0.00070502,0.00070502,0.00070502
36,421.216,0.8494,1.02123,1.17562,0.70515,0.69253,0.71092,0.53258,0.95374,1.24848,1.33934,0.000699021,0.000699021,0.000699021
37,432.935,0.86687,1.02786,1.18429,0.66229,0.5625,0.61877,0.45617,1.01298,1.47389,1.35845,0.000693022,0.000693022,0.000693022
38,444.527,0.84044,0.98805,1.16151,0.75015,0.64071,0.68332,0.5072,0.98944,1.38623,1.37714,0.000687022,0.000687022,0.000687022
39,456.146,0.87138,1.03459,1.1812,0.7288,0.66627,0.68389,0.51075,0.94927,1.28002,1.32509,0.000681023,0.000681023,0.000681023
40,467.736,0.84515,0.96754,1.18044,0.69249,0.64847,0.69448,0.52333,0.94246,1.24987,1.31602,0.000675023,0.000675023,0.000675023
41,479.318,0.80107,0.90422,1.13799,0.60821,0.71884,0.71914,0.55075,0.91087,1.13373,1.27426,0.000669024,0.000669024,0.000669024
42,491.054,0.85052,0.95828,1.1674,0.67088,0.68485,0.69876,0.53189,0.93088,1.25174,1.30773,0.000663025,0.000663025,0.000663025
43,502.665,0.81994,0.90992,1.15933,0.79692,0.64267,0.705,0.52172,0.90987,1.29631,1.29733,0.000657025,0.000657025,0.000657025
44,514.247,0.81076,0.87985,1.15101,0.6593,0.64555,0.70252,0.54808,0.89348,1.20212,1.27137,0.000651026,0.000651026,0.000651026
45,525.844,0.82865,0.91244,1.1484,0.66438,0.63533,0.68017,0.52486,0.93865,1.31952,1.29721,0.000645026,0.000645026,0.000645026
46,537.434,0.78909,0.93209,1.14194,0.7334,0.63169,0.71452,0.54699,0.92538,1.17541,1.29372,0.000639027,0.000639027,0.000639027
47,549.048,0.76565,0.86952,1.10819,0.71844,0.62653,0.66124,0.49105,0.98593,1.3117,1.36,0.000633028,0.000633028,0.000633028
48,560.628,0.81202,0.85126,1.13034,0.69605,0.67404,0.71446,0.52621,0.9414,1.18505,1.32621,0.000627028,0.000627028,0.000627028
49,572.22,0.78139,0.85162,1.11774,0.7431,0.64583,0.71908,0.54375,0.88999,1.21356,1.2775,0.000621029,0.000621029,0.000621029
50,583.804,0.77854,0.79672,1.11687,0.8062,0.68239,0.77799,0.59741,0.85603,0.96674,1.25024,0.000615029,0.000615029,0.000615029
51,595.531,0.76452,0.83269,1.11279,0.74197,0.66832,0.73057,0.56103,0.89761,1.1378,1.28137,0.00060903,0.00060903,0.00060903
52,607.13,0.73445,0.80556,1.07986,0.73438,0.6484,0.69991,0.54235,0.864,1.08651,1.26329,0.000603031,0.000603031,0.000603031
53,618.727,0.78399,0.83475,1.11402,0.69535,0.74526,0.76652,0.58245,0.87204,1.08379,1.2638,0.000597031,0.000597031,0.000597031
54,630.321,0.76058,0.82751,1.09905,0.78317,0.68828,0.74202,0.56423,0.85894,1.14158,1.24583,0.000591032,0.000591032,0.000591032
55,641.923,0.74974,0.76468,1.10239,0.67612,0.73301,0.74881,0.58255,0.84881,1.05261,1.24778,0.000585032,0.000585032,0.000585032
56,653.51,0.77502,0.79567,1.12052,0.73526,0.74978,0.76115,0.57645,0.84787,1.13142,1.24101,0.000579033,0.000579033,0.000579033
57,665.1,0.74582,0.81073,1.1013,0.72189,0.73269,0.76877,0.59452,0.83503,0.96836,1.24131,0.000573034,0.000573034,0.000573034
58,676.692,0.73905,0.77156,1.0806,0.65741,0.77144,0.75844,0.58406,0.81998,1.05874,1.21634,0.000567034,0.000567034,0.000567034
59,688.3,0.72659,0.77879,1.09371,0.70172,0.70933,0.75658,0.58227,0.8467,1.06655,1.24285,0.000561035,0.000561035,0.000561035
60,699.886,0.72125,0.73903,1.08189,0.81984,0.71661,0.78667,0.60137,0.86105,0.94722,1.26512,0.000555035,0.000555035,0.000555035
61,711.599,0.71709,0.70266,1.07236,0.75917,0.6833,0.76092,0.57758,0.84775,1.0897,1.23276,0.000549036,0.000549036,0.000549036
62,723.19,0.71335,0.70958,1.06992,0.74631,0.71715,0.77353,0.5935,0.88444,0.95126,1.26098,0.000543037,0.000543037,0.000543037
63,734.798,0.69868,0.67382,1.05946,0.73322,0.74449,0.78422,0.59455,0.86112,0.9927,1.25426,0.000537037,0.000537037,0.000537037
64,746.37,0.70119,0.68435,1.06535,0.76298,0.72666,0.78794,0.60069,0.86841,0.95459,1.24521,0.000531038,0.000531038,0.000531038
65,757.953,0.70459,0.70391,1.0714,0.76287,0.70461,0.78522,0.6039,0.85874,0.95605,1.24167,0.000525038,0.000525038,0.000525038
66,769.644,0.72059,0.7073,1.09069,0.78639,0.68981,0.76269,0.59425,0.81952,0.95508,1.21927,0.000519039,0.000519039,0.000519039
67,781.238,0.68542,0.66348,1.06682,0.80932,0.73509,0.80447,0.62562,0.80931,0.96458,1.21753,0.00051304,0.00051304,0.00051304
68,792.921,0.6892,0.69788,1.05339,0.77519,0.75101,0.80688,0.62896,0.79972,0.97842,1.18646,0.00050704,0.00050704,0.00050704
69,804.614,0.6993,0.68896,1.06655,0.78326,0.78655,0.82918,0.63114,0.83867,0.896,1.22417,0.000501041,0.000501041,0.000501041
70,816.32,0.66444,0.66836,1.04782,0.80342,0.74968,0.81727,0.62834,0.80678,0.9147,1.21199,0.000495041,0.000495041,0.000495041
71,827.922,0.69321,0.66764,1.06041,0.78164,0.74546,0.80299,0.61033,0.81766,0.91232,1.20843,0.000489042,0.000489042,0.000489042
